reverberation,scenario,method,score
anech,pink_noise,mono,-3.7312763385783
anech,pink_noise,foa,-1.43420532293808
anech,pink_noise,param1,-3.15496281259407
anech,pink_noise,param2,0
anech,pink_noise,foa_amb_param1,-0.870827789977332
anech,pink_noise,foa_amb_param2,0
anech,pink_noise,harpex,-0.00042455832989674
anech,drums+saw,mono,-3.39423910490077
anech,drums+saw,foa,-1.78007942540592
anech,drums+saw,param1,-1.28112833623002
anech,drums+saw,param2,0
anech,drums+saw,foa_amb_param1,-0.653090137657113
anech,drums+saw,foa_amb_param2,0
anech,drums+saw,harpex,-0.000510471580277283
anech,string_quartet,mono,-3.05360118369853
anech,string_quartet,foa,-2.24519631690855
anech,string_quartet,param1,-1.62187803713717
anech,string_quartet,param2,-0.220559326410218
anech,string_quartet,foa_amb_param1,-0.708805491638845
anech,string_quartet,foa_amb_param2,-0.0943777807041783
anech,string_quartet,harpex,-1.77950585453387
anech,two_speakers,mono,-2.84984677275059
anech,two_speakers,foa,-0.449940866617963
anech,two_speakers,param1,-0.56383201097198
anech,two_speakers,param2,0
anech,two_speakers,foa_amb_param1,-0.162674575070426
anech,two_speakers,foa_amb_param2,0
anech,two_speakers,harpex,-0.000337685345801475
anech,speech+noise,mono,-3.47888036885592
anech,speech+noise,foa,-1.28635876571452
anech,speech+noise,param1,-1.76444821025338
anech,speech+noise,param2,-0.389587412655708
anech,speech+noise,foa_amb_param1,-0.542425264763331
anech,speech+noise,foa_amb_param2,-0.115685589424956
anech,speech+noise,harpex,-0.343753585344125
medrev,pink_noise,mono,-3.72576030620344
medrev,pink_noise,foa,-2.62755145202873
medrev,pink_noise,param1,-3.65061975620529
medrev,pink_noise,param2,-3.5714545685313
medrev,pink_noise,foa_amb_param1,-2.82881477767053
medrev,pink_noise,foa_amb_param2,-2.62334608879004
medrev,pink_noise,harpex,-2.34576330742897
medrev,drums+saw,mono,-3.46020879451964
medrev,drums+saw,foa,-2.71424728111489
medrev,drums+saw,param1,-3.34078571472712
medrev,drums+saw,param2,-3.25757742042785
medrev,drums+saw,foa_amb_param1,-2.20938873818456
medrev,drums+saw,foa_amb_param2,-1.91872538610279
medrev,drums+saw,harpex,-2.38564288960572
medrev,string_quartet,mono,-3.33600310507909
medrev,string_quartet,foa,-2.85865940775178
medrev,string_quartet,param1,-3.19865596530039
medrev,string_quartet,param2,-3.06717170883404
medrev,string_quartet,foa_amb_param1,-1.94873330271197
medrev,string_quartet,foa_amb_param2,-1.82286269878371
medrev,string_quartet,harpex,-2.65527411507234
medrev,two_speakers,mono,-3.1269879171529
medrev,two_speakers,foa,-1.16802491743936
medrev,two_speakers,param1,-2.44963581168655
medrev,two_speakers,param2,-2.35454130336367
medrev,two_speakers,foa_amb_param1,-1.1330747169043
medrev,two_speakers,foa_amb_param2,-1.04010442623054
medrev,two_speakers,harpex,-0.889202416319984
medrev,speech+noise,mono,-3.5160995666903
medrev,speech+noise,foa,-2.34740106877839
medrev,speech+noise,param1,-3.23742360261387
medrev,speech+noise,param2,-3.14344687046847
medrev,speech+noise,foa_amb_param1,-2.16990866068939
medrev,speech+noise,foa_amb_param2,-1.87284405808038
medrev,speech+noise,harpex,-1.99158379429318
strongrev,pink_noise,mono,-3.7282745327899
strongrev,pink_noise,foa,-3.01741958865117
strongrev,pink_noise,param1,-3.7527891277458
strongrev,pink_noise,param2,-3.73653905126468
strongrev,pink_noise,foa_amb_param1,-3.18568748473482
strongrev,pink_noise,foa_amb_param2,-3.18270897498639
strongrev,pink_noise,harpex,-2.88162860616062
strongrev,drums+saw,mono,-3.4770331338878
strongrev,drums+saw,foa,-2.88967716691282
strongrev,drums+saw,param1,-3.47097565914081
strongrev,drums+saw,param2,-3.47855543198671
strongrev,drums+saw,foa_amb_param1,-2.79654620684878
strongrev,drums+saw,foa_amb_param2,-2.81211504451755
strongrev,drums+saw,harpex,-2.80821254031291
strongrev,string_quartet,mono,-3.44763225927126
strongrev,string_quartet,foa,-2.75338836718095
strongrev,string_quartet,param1,-3.46470718239078
strongrev,string_quartet,param2,-3.47101924759393
strongrev,string_quartet,foa_amb_param1,-2.613979958095
strongrev,string_quartet,foa_amb_param2,-2.58542509799
strongrev,string_quartet,harpex,-2.62114312783287
strongrev,two_speakers,mono,-3.35005000343074
strongrev,two_speakers,foa,-2.1016155571126
strongrev,two_speakers,param1,-3.26544357345017
strongrev,two_speakers,param2,-3.26103842629364
strongrev,two_speakers,foa_amb_param1,-2.35380058236039
strongrev,two_speakers,foa_amb_param2,-2.34275024780389
strongrev,two_speakers,harpex,-1.90068290529516
strongrev,speech+noise,mono,-3.47839597420506
strongrev,speech+noise,foa,-2.52986578332206
strongrev,speech+noise,param1,-3.47071600180569
strongrev,speech+noise,param2,-3.48254109094483
strongrev,speech+noise,foa_amb_param1,-2.81287444301459
strongrev,speech+noise,foa_amb_param2,-2.80775205896294
strongrev,speech+noise,harpex,-2.5429090890683
