Mono FOA P1 P2 P1F P2F Harpex
42.8 91.3 75.4 100.0 94.7 100.0 100.0
68.1 89.1 92.2 100.0 96.0 100.0 100.0
77.6 86.3 90.1 98.7 95.7 99.4 89.1
80.8 97.3 96.6 100.0 99.0 100.0 100.0
64.2 92.2 89.2 97.6 96.7 99.3 97.9
43.6 83.4 52.1 58.6 81.1 83.4 85.7
65.2 82.5 70.1 72.8 86.5 88.3 85.4
70.3 80.7 74.4 77.3 88.1 88.9 83.1
76.1 92.9 84.9 85.6 93.1 93.7 94.6
62.2 85.7 73.4 75.7 86.8 88.6 87.9
43.2 78.2 39.7 42.1 74.7 74.8 80.4
64.3 80.3 64.6 64.2 81.5 81.3 81.4
65.8 82.0 64.9 64.6 83.5 83.8 83.4
69.8 87.2 72.6 72.7 85.6 85.7 88.4
64.2 84.3 64.6 64.0 81.3 81.4 84.1
